wav,n10,n20,n30,ref 10,ref 20,ref 30
1535.34,-61.14887238,-62.13993073,-66.27113342,-35.93832016,-35.68618774,-35.36656189
1535.35,-61.2043457,-62.07091141,-66.52429962,-35.88132858,-35.69821548,-35.28461456
1535.36,-61.30749893,-62.14640808,-66.86040497,-35.86706161,-35.7336998,-35.46020508
1535.37,-61.40551758,-62.14928055,-67.15184021,-35.88508987,-35.71479416,-35.42241287
1535.38,-61.54971313,-62.20375061,-67.43323517,-35.93777847,-35.79734421,-35.36587906
1535.39,-61.77455902,-62.31655502,-67.75701141,-35.95684052,-35.87316513,-35.16565704
1535.4,-61.90705872,-62.27206802,-68.07660675,-36.02198029,-35.7984314,-35.20801926
1535.41,-62.07517242,-62.41279602,-68.43874359,-36.06105804,-35.83499527,-35.26880264
1535.42,-62.2416687,-62.50183868,-68.89756012,-36.10743713,-35.92222977,-35.20582962
1535.43,-62.39822006,-62.50827026,-69.37509918,-36.07743835,-35.97458267,-35.21261597
1535.44,-62.66871262,-62.53459549,-69.88478088,-36.12247467,-36.01873779,-35.3006134
1535.45,-63.02400208,-62.55954742,-70.26579285,-36.18753052,-36.14383698,-35.20041275
1535.46,-63.22231674,-62.51546097,-70.44365692,-36.17004776,-36.15217972,-35.30401611
1535.47,-63.45466614,-62.46715546,-70.77744293,-36.11567307,-36.10576248,-35.42890549
1535.48,-63.62159729,-62.39406586,-70.75091553,-36.1634903,-36.12145996,-35.35433197
1535.49,-63.73923874,-62.40063477,-70.65167236,-36.23059464,-36.27716064,-35.44719315
1535.5,-63.76651382,-62.27558517,-70.55905914,-36.24082947,-36.22003937,-35.5533371
1535.51,-63.72297668,-62.18299866,-70.24740601,-36.26726532,-36.16892242,-35.61627579
1535.52,-63.67594528,-62.18168259,-69.99341583,-36.39564896,-36.21039581,-35.73947906
1535.53,-63.44189453,-62.07493973,-69.73154449,-36.41752243,-36.25601578,-35.70257187
1535.54,-63.22425079,-62.01976776,-69.4411087,-36.34724426,-36.20263672,-35.82225037
