wav,TE0,TE1,ref
1543.55,-39.12107086,-34.82849884,-33.92447281
1543.56,-39.0106926,-34.84967041,-33.92394257
1543.57,-38.79946518,-34.89498901,-33.90450287
1543.58,-38.62898636,-34.93494415,-33.84557724
1543.59,-38.39180756,-34.9964447,-33.73473358
1543.6,-38.16548538,-34.95372009,-33.80090332
1543.61,-37.98503494,-34.9720993,-33.7723465
1543.62,-37.75212097,-35.05492783,-33.632267
1543.63,-37.59337234,-35.12869263,-33.6059494
1543.64,-37.36686707,-35.12580872,-33.65675735
1543.65,-37.20912933,-35.22627258,-33.61173248
1543.66,-37.19263077,-35.41667557,-33.54861069
1543.67,-36.87256622,-35.47244644,-33.6258049
1543.68,-36.61960602,-35.48548889,-33.66309357
1543.69,-36.45358276,-35.60165787,-33.60338593
1543.7,-36.35655594,-35.79730988,-33.62480164
1543.71,-36.19086456,-35.90459824,-33.72378159
1543.72,-35.95960236,-36.01118469,-33.67645264
1543.73,-35.81534958,-36.18321991,-33.62971115
1543.74,-35.72231674,-36.39029312,-33.68691635
1543.75,-35.3682251,-36.45070267,-33.83031464
1543.76,-35.17488098,-36.60554123,-33.78810501
1543.77,-35.12386322,-36.83198547,-33.79602432
1543.78,-34.93943405,-37.02025223,-33.90639877
1543.79,-34.87249756,-37.29397202,-33.99292755
1543.8,-34.74048615,-37.50172806,-33.82760239
1543.81,-34.70001984,-37.79719543,-33.7661438
1543.82,-34.61190796,-38.04769516,-33.86447906
1543.83,-34.4350853,-38.24378967,-33.8578186
1543.84,-34.45836258,-38.62727356,-33.83070755
1543.85,-34.34227753,-38.87529373,-33.92123413
1543.86,-34.19932938,-39.00126266,-33.99763489
1543.87,-34.2783699,-39.36253738,-33.90280151
1543.88,-34.26151276,-39.75715637,-33.81468964
1543.89,-34.25000763,-40.11313248,-33.81418228
1543.9,-34.12390518,-40.26887131,-33.74839401
1543.91,-34.19855499,-40.67663956,-33.66960526
1543.92,-34.33372116,-41.13776016,-33.78694153
1543.93,-34.2909317,-41.4488945,-33.82468033
