wav,n = 10,n = 20,n = 30,ref 10,ref 20,ref 30
1522.79,-50.54704285,-57.98448944,-63.26359558,-43.03109741,-40.73862457,-41.15893555
1522.8,-50.55403137,-57.93740845,-63.32035828,-42.95765305,-40.74135208,-41.21795273
1522.81,-50.58164978,-57.87707901,-63.33444977,-42.87761307,-40.68213654,-41.21339035
1522.82,-50.63541031,-57.85302734,-63.36045837,-42.87335205,-40.66070557,-41.27713394
1522.83,-50.61253738,-57.76137924,-63.30643082,-42.8321228,-40.6504364,-41.20507431
1522.84,-50.52452087,-57.7117691,-63.26129913,-42.68356705,-40.67492676,-41.23049164
1522.85,-50.43435287,-57.63577271,-63.18231583,-42.59724426,-40.64158249,-41.17942429
1522.86,-50.34530258,-57.54161835,-63.09489822,-42.53812027,-40.59274292,-41.09881592
1522.87,-50.31629562,-57.50128174,-63.03688431,-42.41762161,-40.53725052,-41.15764236
1522.88,-50.2292099,-57.45114517,-63.00051117,-42.41561508,-40.60914612,-41.1104393
1522.89,-50.22538376,-57.38114548,-62.95444489,-42.50875473,-40.6056366,-41.05698395
1522.9,-50.23668671,-57.35218048,-62.95663452,-42.53824997,-40.51289368,-41.11849976
1522.91,-50.22064972,-57.32830048,-62.96438217,-42.67655563,-40.53431702,-41.1931572
1522.92,-50.13615036,-57.29469299,-62.95020676,-42.7142868,-40.5345726,-41.14204025
1522.93,-50.07976913,-57.29011917,-62.92416763,-42.75465393,-40.50238419,-41.02812576
