wav,TE0,TE1,ref,TE0 Norm,TE1 Norm,Sum,,,
1521.97,-53.30886078,-42.15045166,-41.51616793,-11.79269285,-0.634283727,-0.313789547,,,
1521.98,-53.56747055,-42.19505692,-41.50674945,-12.0607211,-0.688307469,-0.382693879,,,
1521.99,-53.75824738,-42.11970901,-41.51789981,-12.24034757,-0.601809209,-0.313771727,,,
1522,-54.04909134,-42.08709335,-41.4990285,-12.55006284,-0.588064855,-0.320076337,,,
1522.01,-54.31851578,-42.07324982,-41.53577548,-12.7827403,-0.53747434,-0.285927049,,,
1522.02,-54.71408081,-42.19511414,-41.69276934,-13.02131147,-0.502344792,-0.26575052,,,
1522.03,-54.9923172,-42.12382889,-41.71356326,-13.27875394,-0.41026563,-0.19151366,,,
1522.04,-55.38857651,-42.11545563,-41.75872546,-13.62985105,-0.356730168,-0.156998304,,,
1522.05,-55.6163826,-42.00857544,-41.69920474,-13.91717786,-0.309370702,-0.124141599,,,
1522.06,-55.85023117,-41.933918,-41.58502322,-14.26520795,-0.34889478,-0.176117946,,,
1522.07,-56.12499237,-41.94917297,-41.52111178,-14.60388059,-0.428061193,-0.265120387,,,
1522.08,-56.33561707,-41.88108063,-41.47920352,-14.85641355,-0.401877111,-0.24888861,,,
1522.09,-56.66785431,-41.93511963,-41.45367175,-15.21418256,-0.481447881,-0.337796932,,,
1522.1,-56.89756012,-41.96900177,-41.31417208,-15.58338804,-0.654829686,-0.517412983,,,
1522.11,-57.09020615,-41.92471313,-41.16692095,-15.92328519,-0.75779218,-0.627563303,,,
1522.12,-57.1686058,-41.87607574,-41.28495913,-15.88364667,-0.591116613,-0.464587779,,,
1522.13,-57.17337036,-41.82741547,-41.18017321,-15.99319715,-0.647242253,-0.522238333,,,
1522.14,-57.17697906,-41.78659821,-41.11047106,-16.066508,-0.676127141,-0.552377471,,,
1522.15,-57.10075378,-41.83280945,-40.97579699,-16.12495679,-0.857012456,-0.729775723,,,
1522.16,-56.98383713,-41.95057297,-41.02047473,-15.9633624,-0.930098241,-0.795904904,,,
1522.17,-56.95507431,-42.07055283,-41.1639226,-15.79115171,-0.906630223,-0.767835189,,,
1522.18,-56.71282578,-42.05989838,-41.06833773,-15.64448804,-0.991560643,-0.845289887,,,
1522.19,-56.55828857,-42.10316086,-41.08273822,-15.47555036,-1.020422643,-0.867454608,,,
1522.2,-56.31612396,-42.20650101,-41.18776065,-15.12836332,-1.018740361,-0.853343999,,,
1522.21,-56.04550171,-42.19805145,-41.08874255,-14.95675916,-1.109308904,-0.933825689,,,
1522.22,-55.81430054,-42.27614594,-40.93580371,-14.87849683,-1.340342229,-1.152182407,,,
1522.23,-55.55125427,-42.37902069,-40.88804751,-14.66320676,-1.49097318,-1.286655927,,,
1522.24,-55.25675201,-42.40827942,-40.85508853,-14.40166349,-1.553190892,-1.333453553,,,
1522.25,-55.00070953,-42.55105591,-40.84064608,-14.16006345,-1.710409825,-1.470112636,,,
1522.26,-54.72377014,-42.68323898,-40.90209704,-13.8216731,-1.781141942,-1.517813219,,,
1522.27,-54.37732697,-42.81155777,-41.00897341,-13.36835355,-1.802584355,-1.509840374,,,
1522.28,-54.022995,-42.81173325,-41.03882724,-12.98416776,-1.772906011,-1.456150553,,,
1522.29,-53.70911789,-42.86103821,-41.03652316,-12.67259473,-1.82451505,-1.481196448,,,
1522.3,-53.35299683,-42.94224548,-41.07307559,-12.27992124,-1.869169896,-1.491019573,,,
1522.31,-53.01924515,-43.05142975,-41.16793185,-11.8513133,-1.883497899,-1.466635299,,,
1522.32,-52.86635971,-43.17746353,-41.13338977,-11.73296995,-2.044073766,-1.600925662,,,
1522.33,-52.52300644,-43.32236099,-41.09611254,-11.4268939,-2.226248448,-1.733259514,,,
1522.34,-52.25483704,-43.4462738,-41.15584307,-11.09899396,-2.29043073,-1.753631825,,,
1522.35,-51.95051956,-43.5581131,-41.0902875,-10.86023206,-2.467825597,-1.880541036,,,
1522.36,-51.67137909,-43.61599731,-41.04889041,-10.62248868,-2.567106908,-1.935721603,,,
1522.37,-51.40368271,-43.64431,-40.9647153,-10.43896741,-2.679594701,-2.006957059,,,
1522.38,-51.08182907,-43.68202972,-40.88895922,-10.19286985,-2.7930705,-2.066974756,,,
1522.39,-50.82028961,-43.63216019,-40.83316165,-9.987127965,-2.79899854,-2.039634416,,,
1522.4,-50.58813477,-43.62258911,-40.82928591,-9.758848851,-2.793303197,-1.997455664,,,
1522.41,-50.32778168,-43.67060852,-40.74024707,-9.587534612,-2.930361455,-2.081329525,,,
1522.42,-50.18199539,-43.58094406,-40.73920565,-9.442789739,-2.841738408,-1.982687594,,,
1522.43,-49.96865082,-43.55211258,-40.71518069,-9.253470128,-2.83693189,-1.944184221,,,
1522.44,-49.64677811,-43.39116669,-40.71917086,-8.927607244,-2.671995824,-1.748891613,,,
1522.45,-49.56201172,-43.31787872,-40.76635485,-8.795656865,-2.55152387,-1.626219395,,,
1522.46,-49.36488342,-43.22286987,-40.73821002,-8.626673406,-2.484659856,-1.539572426,,,
1522.47,-49.1613884,-43.11465073,-40.75967913,-8.401709264,-2.354971593,-1.391086445,,,
1522.48,-49.06630707,-43.15815353,-40.76705676,-8.29925031,-2.391096776,-1.399273249,,,
1522.49,-48.96118164,-43.18736649,-40.67097979,-8.290201848,-2.516386693,-1.496794982,,,
1522.5,-48.88424301,-43.2289505,-40.64503222,-8.23921079,-2.583918279,-1.539257039,,,
1522.51,-48.76120377,-43.18538284,-40.65355426,-8.10764951,-2.531828588,-1.470053794,,,
1522.52,-48.57101822,-43.17198944,-40.76831561,-7.802702611,-2.403673833,-1.30293863,,,
1522.53,-48.53651047,-43.14531708,-40.87211734,-7.664393132,-2.273199742,-1.170709091,,,
1522.54,-48.42277527,-43.1425705,-40.83842974,-7.584345525,-2.304140752,-1.176518849,,,
1522.55,-48.36124039,-43.1211853,-41.02707415,-7.334166234,-2.09411115,-0.957275256,,,
1522.56,-48.21634674,-43.08255005,-40.96033602,-7.256010717,-2.122214025,-0.960674424,,,
1522.57,-48.14827728,-43.11287689,-40.94663745,-7.201639836,-2.166239446,-0.98140772,,,
1522.58,-48.20629883,-43.23522568,-41.01021701,-7.196081823,-2.225008672,-1.024730822,,,
1522.59,-48.13813019,-43.41870117,-40.925031,-7.213099187,-2.493670171,-1.231278922,,,
1522.6,-47.98144913,-43.53348923,-40.86618167,-7.115267461,-2.667307561,-1.334823544,,,
1522.61,-47.86903763,-43.5745697,-41.01298648,-6.856051152,-2.561583226,-1.188014273,,,
1522.62,-47.69387054,-43.77848053,-41.13107043,-6.562800115,-2.6474101,-1.16774468,,,
1522.63,-47.61096191,-43.89265823,-41.16327029,-6.447691625,-2.729387944,-1.191893232,,,
1522.64,-47.33199692,-44.15452576,-41.15226107,-6.179735845,-3.002264684,-1.296363931,,,
1522.65,-47.10489655,-44.22035599,-41.24551898,-5.859377568,-2.97483701,-1.171598702,,,
1522.66,-46.88581467,-44.36849594,-41.22206622,-5.663748448,-3.146429723,-1.214896182,,,
1522.67,-46.78437042,-44.61698914,-41.31079226,-5.47357816,-3.306196874,-1.245761673,,,
1522.68,-46.64960098,-44.65799713,-41.35738497,-5.292216008,-3.300612157,-1.172936043,,,
1522.69,-46.51026917,-44.88186264,-41.43599063,-5.074278539,-3.445872014,-1.17389598,,,
1522.7,-46.49522018,-44.88310242,-41.50247698,-4.992743199,-3.380625432,-1.102006888,,,
1522.71,-46.38140106,-45.08876419,-41.54363375,-4.837767308,-3.545130437,-1.133232738,,,
1522.72,-46.24045944,-45.16775513,-41.48468905,-4.755770391,-3.683066075,-1.176082475,,,
1522.73,-46.12437439,-45.24676132,-41.47836428,-4.646010106,-3.768397039,-1.174772959,,,
1522.74,-45.91569138,-45.38008118,-41.39545565,-4.520235723,-3.984625524,-1.233878873,,,
1522.75,-45.83098602,-45.403862,-41.35464221,-4.476343816,-4.049219792,-1.247233063,,,
